codigo_region,region,edificio_id,nombre_comuna,setpoint_c,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_kwh,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere,relative_volume_error,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,wood_mass_kg,event_count,selection_score,u_wall_1,u_window,n_air_infiltration,thermal_zone,model_persons,model_area_m2
9,Araucania,2073021,Victoria,22.0,1.5,1.0,2.0,9656.087185608469,11.055,11.057142857142859,0.00019383601473170516,20640.0,0.0,840.8025066589229,0.0,4953.6,645,0.00834114712576778,1.1400000000000001,7.049500304663767,1.2,F,4,44.0
9,Araucania,2073021,Victoria,24.0,1.0,1.0,2.0,9329.998198546367,11.055,11.057142857142859,0.00019383601473170516,20640.0,0.0,599.5042227660609,0.0,4953.6,645,0.006002985460139273,0.76,7.049500304663767,1.2,F,4,44.0
10,Los Lagos,2413153,Puerto Octay,22.0,2.0,2.0,2.0,14276.735730637241,16.1,16.095535714285713,-0.00027728482697442555,30045.0,0.0,5466.2218760767555,6211.986145439513,7210.8,939,0.036664183652581055,1.409,15.17130254963731,1.2,G,3,38.0
10,Los Lagos,2413153,Puerto Octay,24.0,1.0,2.0,2.0,13557.021045135776,16.1,16.045714285714286,-0.0033717834960071526,29952.0,93.0,4845.4616023527515,6257.874731471485,7188.48,936,0.03562647880206641,0.7045,15.17130254963731,1.2,G,3,38.0
12,Magallanes,2577343,Natales,22.0,2.0,2.0,2.0,33491.57719397157,23.345,20.15142857142857,-0.13679894746504295,37616.0,5964.0,14689.493668980429,0.0,9027.84,2351,0.20421286976417297,1.165,8.067791715078837,1.6,I,3,76.0
12,Magallanes,2577343,Natales,24.0,2.0,2.0,2.0,34619.00834336381,23.345,20.15142857142857,-0.13679894746504295,37616.0,5964.0,15816.924818372661,0.0,9027.84,2351,0.20938694571365546,1.165,8.067791715078837,1.6,I,3,76.0
14,Los Rios,2334311,Corral,22.0,2.0,2.0,2.0,16149.012814548847,14.16,13.525714285714285,-0.04479418886198554,25248.0,1182.0,5414.262338818806,1293.476805902046,6059.52,789,0.08576477031350885,1.409,12.497428306884352,1.2,G,4,56.0
14,Los Rios,2334311,Corral,24.0,2.0,2.0,2.0,17093.662287474704,14.16,14.158928571428572,-7.566585956416751e-05,26430.0,0.0,5841.4183071178995,1373.6693399084709,6343.2,826,0.04427860424108441,1.409,12.497428306884352,1.2,G,4,56.0
