codigo_region,region,edificio_id,nombre_comuna,setpoint_c,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_kwh,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere,relative_volume_error,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,wood_mass_kg,event_count,selection_score,u_wall_1,u_window,n_air_infiltration,thermal_zone,model_persons,model_area_m2
12,Magallanes,2577343,Natales,22.0,1.0,1.0,1.0,19725.995518649404,23.345,14.125714285714286,-0.394914787504207,26368.0,17212.0,6547.549436810647,0.0,6328.320000000001,1648,0.4249632016244945,0.5825,4.033895857539418,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,1.5,22774.940310761733,23.345,15.882857142857143,-0.3196462992993299,29648.0,13932.0,7954.835209794117,0.0,7115.52,1853,0.3561531153149064,0.5825,4.033895857539418,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,2.0,25825.03467207252,23.345,17.305714285714288,-0.25869718202123415,32304.0,11276.0,9675.114806568949,0.0,7752.960000000001,2019,0.3030988103212293,0.5825,4.033895857539418,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,1.0,22058.862882069774,23.345,15.548571428571428,-0.3339656702261114,29024.0,14556.0,7551.0185038087175,0.0,6965.76,1814,0.36861926592968514,0.5825,6.050843786309128,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,1.5,25062.479011256397,23.345,16.911428571428573,-0.2755866964476944,31568.0,12012.0,9280.866575853126,0.0,7576.320000000001,1973,0.3181790166673049,0.5825,6.050843786309128,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,2.0,28066.998702184417,23.345,18.36,-0.21353608909830799,34272.0,9308.0,10939.271408611748,0.0,8225.28,2142,0.2637392621529741,0.5825,6.050843786309128,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,1.0,24327.152617689335,23.345,16.68,-0.28550010708931245,31136.0,12444.0,8761.82299891642,0.0,7472.64,1946,0.3257104007970519,0.5825,8.067791715078837,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,1.5,27286.452534558848,23.345,18.085714285714285,-0.22528531652541073,33760.0,9820.0,10415.044329555003,0.0,8102.4,2110,0.2730826746234144,0.5825,8.067791715078837,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,2.0,2.0,30246.555771430947,23.345,19.165714285714287,-0.17902273353119347,35776.0,7804.0,12364.732820725436,0.0,8586.24,2236,0.23576772123530285,0.5825,8.067791715078837,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.5,1.0,1.0,21665.579674103366,23.345,15.19714285714286,-0.34901936786708676,28368.0,15212.0,7486.752056842032,0.0,6808.320000000001,1773,0.3833780280637,0.87375,4.033895857539418,0.8,I,3,76.0
