codigo_region,region,edificio_id,nombre_comuna,setpoint_c,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_kwh,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere,relative_volume_error,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,wood_mass_kg,event_count,selection_score,u_wall_1,u_window,n_air_infiltration,thermal_zone,model_persons,model_area_m2
9,Araucania,2073021,Victoria,22.0,1.0,1.0,2.5,9497.076471429269,11.055,11.057142857142859,0.00019383601473170516,20640.0,0.0,714.0415192837772,0.0,4953.6,645,0.0071128429845357475,0.76,7.049500304663767,1.5,F,4,44.0
9,Araucania,2073021,Victoria,24.0,1.0,1.0,2.0,9329.998198546367,11.055,11.057142857142859,0.00019383601473170516,20640.0,0.0,599.5042227660609,0.0,4953.6,645,0.006002985460139273,0.76,7.049500304663767,1.2,F,4,44.0
10,Los Lagos,2413153,Puerto Octay,22.0,1.5,2.5,1.0,13990.137091569817,16.1,16.095535714285713,-0.00027728482697442555,30045.0,0.0,5251.3517418720985,6283.714650302281,7210.8,939,0.035233861574334044,1.05675,18.96412818704664,0.6,G,3,38.0
10,Los Lagos,2413153,Puerto Octay,24.0,1.0,2.5,1.0,13990.538345055,16.1,16.095535714285713,-0.00027728482697442555,30045.0,0.0,5207.00574153463,6238.967396479632,7210.8,939,0.03493866436789391,0.7045,18.96412818704664,0.6,G,3,38.0
12,Magallanes,2577343,Natales,22.0,3.0,3.0,3.0,45463.3644897113,23.345,22.84285714285714,-0.02150965333659701,42640.0,940.0,24148.60940535501,0.0,10233.6,2665,0.13233392779898806,1.7475,12.101687572618255,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,24.0,3.0,3.0,3.0,46935.161755042034,23.345,22.84285714285714,-0.02150965333659701,42640.0,940.0,25620.406670685756,0.0,10233.6,2665,0.1390883897784775,1.7475,12.101687572618255,2.4000000000000004,I,3,76.0
14,Los Rios,2334311,Corral,22.0,1.0,3.0,1.5,17066.86398274942,14.16,14.158928571428572,-7.566585956416751e-05,26430.0,0.0,5795.304297269442,1388.459878766748,6343.2,826,0.04392965221801625,0.7045,18.746142460326528,0.8999999999999999,G,4,56.0
14,Los Rios,2334311,Corral,24.0,1.0,3.0,1.0,16985.541979509133,14.16,14.158928571428572,-7.566585956416751e-05,26430.0,0.0,5734.029762630734,1409.534444107357,6343.2,826,0.04346597810043237,0.7045,18.746142460326528,0.6,G,4,56.0
