codigo_region,region,edificio_id,nombre_comuna,setpoint_c,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_kwh,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere,relative_volume_error,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,wood_mass_kg,event_count,selection_score,u_wall_1,u_window,n_air_infiltration,thermal_zone,model_persons,model_area_m2
12,Magallanes,2577343,Natales,22.0,1.0,1.0,1.0,19725.995518649404,23.345,14.125714285714286,-0.394914787504207,26368.0,17212.0,6547.549436810647,0.0,6328.320000000001,1648,0.4249632016244945,0.5825,4.033895857539418,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,1.5,22774.940310761733,23.345,15.882857142857143,-0.3196462992993299,29648.0,13932.0,7954.835209794117,0.0,7115.52,1853,0.3561531153149064,0.5825,4.033895857539418,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,2.0,25825.03467207252,23.345,17.305714285714288,-0.25869718202123415,32304.0,11276.0,9675.114806568949,0.0,7752.960000000001,2019,0.3030988103212293,0.5825,4.033895857539418,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,2.5,28876.068564921956,23.345,18.642857142857142,-0.20141969831410825,34800.0,8780.0,11484.000197957184,0.0,8352.0,2175,0.25412277402754185,0.5825,4.033895857539418,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.0,3.0,31927.831566726854,23.345,19.645714285714284,-0.15846158553376374,36672.0,6908.0,13597.315374153932,0.0,8801.28,2292,0.2208632164385546,0.5825,4.033895857539418,2.4000000000000004,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,1.0,22058.862882069774,23.345,15.548571428571428,-0.3339656702261114,29024.0,14556.0,7551.0185038087175,0.0,6965.76,1814,0.36861926592968514,0.5825,6.050843786309128,0.8,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,1.5,25062.479011256397,23.345,16.911428571428573,-0.2755866964476944,31568.0,12012.0,9280.866575853126,0.0,7576.320000000001,1973,0.3181790166673049,0.5825,6.050843786309128,1.2000000000000002,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,2.0,28066.998702184417,23.345,18.36,-0.21353608909830799,34272.0,9308.0,10939.271408611748,0.0,8225.28,2142,0.2637392621529741,0.5825,6.050843786309128,1.6,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,2.5,31072.260507108076,23.345,19.388571428571428,-0.16947648624667258,36192.0,7388.0,12982.107874281768,0.0,8686.08,2262,0.22905476928605656,0.5825,6.050843786309128,2.0,I,3,76.0
12,Magallanes,2577343,Natales,22.0,1.0,1.5,3.0,34077.9131976173,23.345,20.502857142857145,-0.12174524982406741,38272.0,5308.0,14945.194195925611,0.0,9185.28,2392,0.1903326486121611,0.5825,6.050843786309128,2.4000000000000004,I,3,76.0
