codigo_region,region,scenario,n_simulations,n_inmuebles_sampled,total_inmuebles_regional,wood_inmuebles_regional,wood_share_regional,sampling_weight_wood_inmuebles,sample_expansion_weight,heating_demand_kwh_min,heating_demand_kwh_p10,heating_demand_kwh_median,heating_demand_kwh_p90,heating_demand_kwh_max,heating_demand_kwh_std,heating_demand_kwh_weighted_mean,heating_demand_kwh_m2_min,heating_demand_kwh_m2_p10,heating_demand_kwh_m2_median,heating_demand_kwh_m2_p90,heating_demand_kwh_m2_max,heating_demand_kwh_m2_std,heating_demand_kwh_m2_weighted_mean,target_fuel_energy_kwh_min,target_fuel_energy_kwh_p10,target_fuel_energy_kwh_median,target_fuel_energy_kwh_p90,target_fuel_energy_kwh_max,target_fuel_energy_kwh_std,target_fuel_energy_kwh_weighted_mean,assigned_fuel_energy_kwh_min,assigned_fuel_energy_kwh_p10,assigned_fuel_energy_kwh_median,assigned_fuel_energy_kwh_p90,assigned_fuel_energy_kwh_max,assigned_fuel_energy_kwh_std,assigned_fuel_energy_kwh_weighted_mean,unallocated_fuel_energy_kwh_min,unallocated_fuel_energy_kwh_p10,unallocated_fuel_energy_kwh_median,unallocated_fuel_energy_kwh_p90,unallocated_fuel_energy_kwh_max,unallocated_fuel_energy_kwh_std,unallocated_fuel_energy_kwh_weighted_mean,wood_volume_stere_min,wood_volume_stere_p10,wood_volume_stere_median,wood_volume_stere_p90,wood_volume_stere_max,wood_volume_stere_std,wood_volume_stere_weighted_mean,unmet_heating_energy_kwh_min,unmet_heating_energy_kwh_p10,unmet_heating_energy_kwh_median,unmet_heating_energy_kwh_p90,unmet_heating_energy_kwh_max,unmet_heating_energy_kwh_std,unmet_heating_energy_kwh_weighted_mean,redpe_target_m3st_min,redpe_target_m3st_p10,redpe_target_m3st_median,redpe_target_m3st_p90,redpe_target_m3st_max,redpe_target_m3st_std,redpe_target_m3st_weighted_mean,redpe_mid_target_m3st,wood_volume_to_redpe_mid_ratio,relative_error_to_redpe_mid,climate_severity_adjustment,hdd_base_c,hdd_regional,hdd_ratio_to_reference,wall_u_multiplier,window_u_multiplier,infiltration_multiplier,heating_demand_cv
1,Tarapaca,coverage_mid,10,10,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,418.9937611442746,1490.6667985047457,3494.808056286819,8860.517811316131,8860.51834199115,2976.12092507577,4272.53154281818,3.9158295434044352,36.610768514098396,63.10505938970162,187.8389881178788,217.04269205544773,73.9961765009953,98.55276686776196,628.4906417164118,2236.0001977571183,5242.212084430229,13290.776716974196,13290.777512986726,4464.181387613656,6408.79731422727,628.4906417164118,2236.0001977571183,5242.212084430229,13290.776716974196,13290.77751298673,4464.181387613656,6408.79731422727,0.0,0.0,0.0,1.0004441719502207e-12,1.8189894035458565e-12,6.231495351159073e-13,4.092726157978177e-13,0.33669141520522056,1.1978572487984562,2.8083279023733367,7.12005895552189,7.1200593819571765,2.3915257433644586,3.433284275478895,104.74844028606877,372.6666996261865,873.7020140717045,2215.1294528290323,2215.1295854977852,744.0302312689422,1068.132885704545,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,0.8515835139277589
2,Antofagasta,coverage_mid,10,10,175972,970,0.00551224058372923,0.0009845216950012687,97.0,222.55400912550186,760.5061646673895,6414.547292407832,19718.747739475115,31735.24689161984,9994.49778304055,8957.373462212625,1.987089367191981,16.60428146460452,90.9537746035682,162.62532339217506,190.99081168768754,64.65383355425118,88.6196553864789,333.8310136882528,1140.7592470010843,9621.820938611749,29578.121609212674,47602.87033742976,14991.746674560825,13436.060193318937,333.8310136882528,1140.7592470010845,9621.820938611749,29578.121609212674,47602.87033742976,14991.746674560825,13436.060193318937,0.0,0.0,0.0,5.002220859751104e-13,9.094947017729282e-13,3.0693106860351365e-13,1.3642420526593923e-13,0.1788380430472783,0.6111210251791526,5.154546931399151,15.845422290649648,25.50153768076594,8.031292861371869,7.197889389278001,55.638502281375445,190.12654116684726,1603.6368231019562,4929.6869348687815,7933.811722904963,2498.6244457601383,2239.343365553156,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,1.5580986977631137
3,Atacama,coverage_mid,10,10,93940,1342,0.014285714285714285,0.0013620908398883531,134.2,1647.266332298771,2421.4813564041015,5639.52706410834,14451.317280529283,18206.80034462297,5489.088142264543,7412.334311101104,26.138845424549213,40.62772298011887,95.38413863201781,231.57131815832068,458.2665277498271,129.12394087987752,136.0474768604949,2470.8994984481565,3632.222034606152,8459.290596162511,21676.975920793928,27310.200516934456,8233.632213396815,11118.501466651656,2470.899498448157,3632.2220346061517,8459.29059616251,21676.975920793928,27310.200516934456,8233.632213396815,11118.501466651656,0.0,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,3.8646093598745096e-13,2.2737367544323206e-13,1.323696159882941,1.9458332328247239,4.531762819372773,11.612665671853888,14.630464562643457,4.410874400034008,5.956340071420529,411.81658307469274,605.3703391010254,1409.8817660270847,3612.829320132322,4551.700086155743,1372.2720355661359,1853.083577775276,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,0.9733241954274436
4,Coquimbo,coverage_mid,15,15,274131,14348,0.052339939663883325,0.014562801319462065,956.5333333333333,1945.3915408262274,2724.7507822364937,4266.517351844234,11343.261558343078,23823.671791509474,5576.727263360888,6439.418102559376,47.368823597569445,54.48725877946839,105.20227092402304,202.8891080230699,288.15132724170576,69.06631362127989,119.35596417242488,2918.087311239341,4087.1261733547403,6399.776027766351,17014.89233751462,35735.50768726421,8365.090895041332,9659.127153839067,2918.087311239341,4087.126173354741,6399.776027766351,17014.892337514615,35735.5076872642,8365.09089504133,9659.127153839065,0.0,0.0,0.0,2.9103830456733697e-12,7.275957614183426e-12,2.04720503050753e-12,8.48861721654733e-13,1.563261059592504,2.1895318785828968,3.428451443446259,9.115120895097116,19.144021975320108,4.48129869377214,5.174532403842358,486.3478852065569,681.1876955591232,1066.6293379610588,2835.815389585772,5955.917947877374,1394.1818158402234,1609.8545256398452,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,1.3070911948712234
5,Valparaiso,coverage_mid,37,37,645498,79282,0.12282299867699048,0.08046891651865008,2142.7567567567567,1510.6478036580688,2368.890007066481,5325.5298651612775,18522.584445094246,23564.344046903996,6045.591861751908,7329.237388424963,31.846361742948712,44.94065178154815,78.36276389933204,148.9996215847863,303.7428285770788,58.135210161908844,96.61414135901525,2265.9717054871035,3553.335010599721,7988.294797741916,27783.876667641372,35346.516070355996,9068.387792627864,10993.856082637443,2265.9717054871035,3553.3350105997215,7988.294797741916,27783.876667641372,35346.516070355996,9068.387792627864,10993.856082637443,0.0,0.0,0.0,3.6379788070917e-13,1.8189894035458565e-12,5.179525009693856e-13,1.7206656520028373e-13,1.2139134136538057,1.9035723271069935,4.279443641647455,14.884219643379305,18.935633609119286,4.858064888907784,5.889565758555774,377.6619509145173,592.2225017666202,1331.38246629032,4630.646111273564,5891.086011725998,1511.3979654379773,1832.3093471062407,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,1.1352094561146218
6,O'Higgins,coverage_mid,35,35,276334,71629,0.25921167862079947,0.07270134483633596,2046.5428571428572,312.74274257170845,2281.4109636527805,4613.736673084665,12421.187206988065,17320.32824308563,4013.5151491684533,5800.590520746921,30.644511933327667,43.495879249135676,69.74468235913285,129.86800407869708,333.8267105822676,52.976878411492464,81.11446891490566,469.11411385756264,3422.116445479171,6920.605009626997,18631.780810482098,25980.492364628444,6020.272723752681,8700.885781120382,469.1141138575627,3422.116445479171,6920.605009626997,18631.7808104821,25980.492364628444,6020.2727237526815,8700.885781120382,0.0,0.0,0.0,9.094947017729282e-13,1.8189894035458565e-12,5.740052486731416e-13,2.8584119198577744e-13,0.25131113242369435,1.8332766672209848,3.7074669694430344,9.981311148472555,13.918120909622381,3.2251461020103647,4.6611888113144895,78.18568564292708,570.352740913195,1153.4341682711665,3105.2968017470157,4330.082060771409,1003.3787872921134,1450.1476301867303,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,0.8699055523871253
6,O'Higgins,redpe_mid,35,35,276334,71629,0.25921167862079947,0.07270134483633596,2046.5428571428572,312.74274257170845,2281.4109636527805,4613.736673084665,12421.187206988065,17320.32824308563,4013.5151491684533,5800.590520746921,30.644511933327667,43.495879249135676,69.74468235913285,129.86800407869708,333.8267105822676,52.976878411492464,81.11446891490566,7040.0,7040.0,7040.0,7040.0,7040.0,0.0,7040.0,625.4854851434169,4562.821927305561,7039.999999999999,7040.000000000001,7040.000000000002,1461.483552997178,6304.809665896188,0.0,0.0,9.094947017729282e-13,2477.1780726944394,6414.514514856583,1461.483552997178,735.1903341038135,0.3350815098982591,2.4443688896279796,3.7714285714285705,3.7714285714285714,3.7714285714285727,0.7829376176770595,3.3775766067301,0.0,0.0,1093.7366730846652,8901.187206988065,13800.32824308563,3683.76674340955,2648.185687798827,3.77,3.77,3.77,3.77,3.77,4.505726069544845e-16,3.7700000000000005,3.77,0.8959089142520159,-0.10409108574798409,False,12.0,,,1.0,1.0,1.0,0.8699055523871253
7,Maule,coverage_mid,57,57,350269,135357,0.3864372810611273,0.13738340522709971,2374.684210526316,1051.4293658205968,2661.921781188562,5060.467056561865,12375.28024282554,38026.351611288286,7114.677676887476,7595.370580260203,38.136753354403645,55.78452211970393,92.34106343463651,185.63827872748737,268.86443567899073,50.88285222127521,108.24741570274031,1577.144048730895,3992.8826717828424,7590.700584842798,18562.92036423831,57039.527416932426,10672.016515331214,11393.055870390304,1577.1440487308946,3992.882671782842,7590.700584842799,18562.92036423831,57039.52741693243,10672.016515331215,11393.055870390304,0.0,0.0,0.0,1.8189894035458565e-12,3.637978807091713e-12,7.805397889861405e-13,4.4676932718670157e-13,0.8448985975344079,2.1390442884550938,4.06644674188007,9.944421623699096,30.55688968764238,5.717151704641721,6.103422787709091,262.8573414551494,665.4804452971405,1265.1167641404666,3093.820060706385,9506.587902822073,1778.669419221869,1898.8426450650506,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,1.4059330092193632
7,Maule,redpe_mid,57,57,350269,135357,0.3864372810611273,0.13738340522709971,2374.684210526316,1051.4293658205968,2661.921781188562,5060.467056561865,12375.28024282554,38026.351611288286,7114.677676887476,7595.370580260203,38.136753354403645,55.78452211970393,92.34106343463651,185.63827872748737,268.86443567899073,50.88285222127521,108.24741570274031,9980.0,9980.0,9980.0,9980.0,9980.0,0.0,9980.0,2102.8587316411936,5323.843562377124,9979.999999999996,9980.000000000002,9980.000000000002,2354.056366521607,8135.403731911728,0.0,0.0,3.637978807091713e-12,4656.156437622876,7877.141268358806,2354.0563665216064,1844.5962680882728,1.126531463379211,2.8520590512734594,5.346428571428569,5.346428571428572,5.346428571428572,1.261101624922289,4.3582519992384245,0.0,0.0,70.46705656186532,7385.280242825541,33036.351611288286,6527.627432977141,3527.668714304338,5.345000000000001,5.345000000000001,5.345000000000001,5.345000000000001,5.345000000000001,0.0,5.345000000000001,5.345000000000001,0.8153885873224367,-0.1846114126775633,False,12.0,,,1.0,1.0,1.0,1.4059330092193632
8,Biobio,coverage_mid,88,88,484775,224598,0.463303594451034,0.22796041613803603,2552.25,764.381765036193,3232.0065943920386,5113.697593848965,10745.593309057507,36668.82882006177,4509.864189351742,6445.92777884587,48.27922243782761,66.67376574676922,103.24646177247787,166.0019172672916,213.7433180157456,35.837187122923915,107.4088367829423,1146.5726475542895,4848.009891588057,7670.546390773447,16118.38996358626,55003.24323009265,6764.796284027613,9668.891668268805,1146.5726475542892,4848.009891588058,7670.546390773447,16118.389963586262,55003.24323009266,6764.796284027613,9668.891668268805,0.0,0.0,0.0,9.094947017729282e-13,3.637978807091713e-12,5.799883725813989e-13,2.5062780134083534e-13,0.6142353469040834,2.597148156207888,4.1092212807714885,8.634851766206927,29.46602315897821,3.623998009300507,5.17976339371543,191.09544125904824,808.0016485980094,1278.4243984622412,2686.398327264376,9167.207205015442,1127.4660473379354,1611.4819447114676,,,,,,,,,,,False,12.0,,,1.0,1.0,1.0,0.8819184370183434
