codigo_region,region,hdd_base_c,hdd_regional,hdd_reference_region,hdd_reference_c,hdd_ratio_to_reference,wall_u_multiplier,window_u_multiplier,infiltration_multiplier
9,Araucania,12.0,1015.2865739397402,9,1015.2865739397402,1.0,1.1,1.08,1.2
10,Los Lagos,12.0,1303.2639641264511,9,1015.2865739397402,1.2836414836741485,1.1563290434327071,1.135304879006658,1.3095936373291381
11,Aysen,12.0,3079.6306340432943,9,1015.2865739397402,3.0332624434232676,1.3733292902010659,1.3483596667428646,1.7694966379339554
12,Magallanes,12.0,3212.0945021588504,9,1015.2865739397402,3.1637318808369237,1.3849452954002677,1.3597644718475355,1.7957717319960935
14,Los Rios,12.0,1106.6182659429655,9,1015.2865739397402,1.0899565643312112,1.1191145016205086,1.0987669652274084,1.2367287674624154
