edificio_id,codigo_region,region,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,0,8.0,1.0,1.0,8.0,0.0,True,,0.24996820619816218,2077.40920822315,4154.8184164463,1038.5725066381704,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,1,8.0,1.0,1.0,8.0,0.01,True,,0.3838493291284421,1891.844317122463,4154.8184164463,1130.912034051691,878.0346271750705,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,2,8.0,1.0,1.0,16.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,3,8.0,1.0,1.0,16.0,0.01,True,,0.4566029302110536,1791.232115529788,4154.8184164463,1181.659531710825,978.6468287677454,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,4,8.0,1.0,1.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,5,8.0,1.0,1.0,32.0,0.01,True,,0.5864656827301631,1611.308617710753,4154.8184164463,1271.4069429400415,1158.5703265867805,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,6,8.0,1.0,1.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,7,8.0,1.0,1.0,64.0,0.01,True,,0.8036201087760177,1310.6276350122816,4154.8184164463,1421.9416947420061,1459.2513092852519,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,8,8.0,1.0,2.0,8.0,0.0,True,,0.24996820619816218,2077.40920822315,4154.8184164463,1038.5725066381704,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,9,8.0,1.0,2.0,8.0,0.01,True,,0.3840329717629688,1891.217598544028,4154.8184164463,1130.10823940558,878.6613457535054,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,10,8.0,1.0,2.0,16.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
