edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,regional_sample_rank,n_inmuebles,winter_setpoint_c,setpoint_scenario,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,target_fuel_energy_kwh,redpe_target_wood_volume_stere,assigned_fuel_energy_kwh,assigned_useful_energy_kwh,wood_volume_stere,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,event_count,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour
2577410,12,Magallanes,12103,Torres del Paine,11,1,22.0,invierno_22C,I,3,112.0,20047.521206485813,43580.0,23.345,39888.0,19936.49699458804,21.368571428571432,3692.0,111.02421189777486,0.0,2493,16.0,2.0,1.0,16.0,0.0
2577343,12,Magallanes,12101,Natales,1,1,24.0,invierno_24C,I,3,76.0,20457.56904886246,43580.0,23.345,40288.0,20136.92258504308,21.582857142857144,3292.0,320.64646381937854,0.0,2518,16.0,2.0,1.0,16.0,0.0
2593509,12,Magallanes,12205,Punta Arenas,2,1,24.0,invierno_24C,I,2,101.0,21882.78818755299,43580.0,23.345,42416.0,21198.486405323947,22.72285714285714,1164.0,684.3017822290419,0.0,2651,16.0,2.0,1.0,16.0,0.0
2614773,12,Magallanes,12301,Porvenir,3,1,24.0,invierno_24C,I,4,96.0,19556.75932134867,43580.0,23.345,37152.0,18565.877940718106,19.902857142857147,6428.0,990.8813806305595,0.0,2322,16.0,2.0,1.0,16.0,0.0
2614434,12,Magallanes,12206,Laguna Blanca,4,1,24.0,invierno_24C,I,1,59.0,14639.887258290459,43580.0,23.345,29160.0,14572.576913177974,15.621428571428568,14420.0,67.31034511248474,0.0,1823,16.0,2.0,1.0,16.0,0.0
2577414,12,Magallanes,12103,Torres del Paine,5,1,24.0,invierno_24C,I,3,390.0,52261.62070621815,43580.0,23.345,43580.0,21790.0,23.34642857142857,0.0,30471.620706218157,0.0,2724,16.0,2.0,1.0,16.0,0.0
2577486,12,Magallanes,12204,San Gregorio,6,1,24.0,invierno_24C,I,1,80.0,17781.427664967498,43580.0,23.345,34784.0,17385.324648791644,18.634285714285713,8796.0,396.1030161758529,0.0,2174,16.0,2.0,1.0,16.0,0.0
2616043,12,Magallanes,12304,Timaukel,7,1,24.0,invierno_24C,I,8,56.0,14478.219284022807,43580.0,23.345,28944.0,14464.16258237722,15.505714285714287,14636.0,14.056701645586974,0.0,1809,16.0,2.0,1.0,16.0,0.0
2616079,12,Magallanes,12401,Cabo de Hornos,8,1,24.0,invierno_24C,I,2,35.0,11351.790602539433,43580.0,23.345,22720.0,11351.790602539433,12.17142857142857,20860.0,0.0,0.0,1420,16.0,2.0,1.0,16.0,0.0
2616012,12,Magallanes,12302,Primavera,9,1,24.0,invierno_24C,I,4,170.0,29360.418558573627,43580.0,23.345,43580.0,21790.0,23.34642857142857,0.0,7570.4185585736295,0.0,2724,16.0,2.0,1.0,16.0,0.0
2580174,12,Magallanes,12205,Punta Arenas,10,1,24.0,invierno_24C,I,3,81.0,20658.456900194367,43580.0,23.345,40312.0,20149.717471924174,21.595714285714287,3268.0,508.73942827019425,0.0,2520,16.0,2.0,1.0,16.0,0.0
2577410,12,Magallanes,12103,Torres del Paine,11,1,24.0,invierno_24C,I,3,112.0,20844.41785729854,43580.0,23.345,41064.0,20525.16416004732,21.998571428571424,2516.0,319.2536972512221,0.0,2567,16.0,2.0,1.0,16.0,0.0
2355533,14,Los Rios,10110,Paillaco,1,1,,perfil_actual,F,3,49.0,7113.351371397602,26430.0,14.16,19968.0,7113.351371397602,10.697142857142858,6462.0,0.0,2062.8451002517286,624,32.0,1.0,1.0,16.0,0.01
2301379,14,Los Rios,10101,Valdivia,2,1,,perfil_actual,G,4,45.0,3917.5462639687394,26430.0,14.16,12032.0,3917.5462639687394,6.445714285714287,14398.0,0.0,1323.1542059221326,376,32.0,1.0,1.0,16.0,0.01
2366833,14,Los Rios,10112,Lago Ranco,3,1,,perfil_actual,F,2,100.0,17882.31966439378,26430.0,14.16,26430.0,10757.7844195831,14.158928571428572,0.0,7124.53524481068,2038.8851743372925,826,32.0,1.0,1.0,16.0,0.01
2323851,14,Los Rios,10103,Lanco,4,1,,perfil_actual,F,2,46.0,6858.433809929053,26430.0,14.16,19392.0,6858.433809929053,10.388571428571428,7038.0,0.0,2034.6617478052797,606,32.0,1.0,1.0,16.0,0.01
2363208,14,Los Rios,10111,Río Bueno,5,1,,perfil_actual,F,2,100.0,13615.567480684533,26430.0,14.16,26430.0,10421.24497083962,14.158928571428572,0.0,3194.322509844913,2263.968393083596,826,32.0,1.0,1.0,16.0,0.01
2331913,14,Los Rios,10105,Futrono,6,1,,perfil_actual,F,4,55.0,10649.181862664818,26430.0,14.16,26430.0,9985.489750943278,14.158928571428572,0.0,663.6921117215413,2553.395753055011,826,32.0,1.0,1.0,16.0,0.01
2339667,14,Los Rios,10108,Panguipulli,7,1,,perfil_actual,F,3,72.0,11541.697247335633,26430.0,14.16,26430.0,10253.813192249401,14.158928571428572,0.0,1287.8840550862312,2359.2290799083244,826,32.0,1.0,1.0,16.0,0.01
2329058,14,Los Rios,10104,Los Lagos,8,1,,perfil_actual,F,3,57.0,7794.967156224864,26430.0,14.16,21504.0,7794.967156224864,11.520000000000001,4926.0,0.0,2156.7214927234304,672,32.0,1.0,1.0,16.0,0.01
2321745,14,Los Rios,10102,Mariquina,9,1,,perfil_actual,G,3,43.0,2980.275609101162,26430.0,14.16,9632.0,2980.275609101162,5.160000000000001,16798.0,0.0,1066.9625723166125,301,32.0,1.0,1.0,16.0,0.01
2334265,14,Los Rios,10106,Corral,10,1,,perfil_actual,G,8,90.0,4641.778449690507,26430.0,14.16,13632.0,4641.778449690507,7.3028571428571425,12798.0,0.0,1445.0535792910096,426,32.0,1.0,1.0,16.0,0.01
2350060,14,Los Rios,10109,La Unión,11,1,,perfil_actual,F,2,50.0,7944.013520726853,26430.0,14.16,21920.0,7944.013520726853,11.742857142857144,4510.0,0.0,2213.7060132528372,685,32.0,1.0,1.0,16.0,0.01
2336620,14,Los Rios,10107,Máfil,12,1,,perfil_actual,G,4,42.0,3854.272104690953,26430.0,14.16,11808.0,3854.272104690953,6.325714285714286,14622.0,0.0,1270.9226647939777,369,32.0,1.0,1.0,16.0,0.01
2334777,14,Los Rios,10106,Corral,13,1,,perfil_actual,G,4,48.0,4642.452633315278,26430.0,14.16,13888.0,4642.452633315278,7.44,12542.0,0.0,1504.0170935482272,434,32.0,1.0,1.0,16.0,0.01
2321737,14,Los Rios,10102,Mariquina,14,1,,perfil_actual,G,5,54.0,3857.602325969775,26430.0,14.16,11744.0,3857.602325969775,6.291428571428571,14686.0,0.0,1265.2362091480704,367,32.0,1.0,1.0,16.0,0.01
2354580,14,Los Rios,10110,Paillaco,15,1,,perfil_actual,F,2,42.0,6696.934601493614,26430.0,14.16,18976.0,6696.934601493614,10.165714285714287,7454.0,0.0,1978.9633742324338,593,32.0,1.0,1.0,16.0,0.01
2331594,14,Los Rios,10105,Futrono,16,1,,perfil_actual,F,4,56.0,10785.554043468617,26430.0,14.16,26430.0,10019.7231017835,14.158928571428572,0.0,765.8309416851166,2532.4759585323104,826,32.0,1.0,1.0,16.0,0.01
2326412,14,Los Rios,10103,Lanco,17,1,,perfil_actual,F,3,73.0,9539.301767137094,26430.0,14.16,25408.0,9539.301767137094,13.611428571428572,1022.0,0.0,2392.335878266465,794,32.0,1.0,1.0,16.0,0.01
2342848,14,Los Rios,10108,Panguipulli,18,1,,perfil_actual,F,6,200.0,17822.21741379127,26430.0,14.16,26430.0,10827.76346088569,14.158928571428572,0.0,6994.453952905585,2000.3219002330684,826,32.0,1.0,1.0,16.0,0.01
2328792,14,Los Rios,10104,Los Lagos,19,1,,perfil_actual,F,2,38.0,6138.970946007339,26430.0,14.16,17536.0,6138.970946007339,9.394285714285715,8894.0,0.0,1828.2683717276789,548,32.0,1.0,1.0,16.0,0.01
