edificio_id,date,scenario,n_hours,t_amb_mean_c,t_amb_min_c,t_air_mean_c,t_air_min_c,t_air_max_c,heating_demand_day_kwh,stove_combustion_energy_day_kwh,stove_useful_energy_day_kwh,wood_consumed_day_kg,event_count_day,annual_wood_consumed_kg,annual_unmet_heating_energy_kwh,annual_unallocated_fuel_energy_kwh
2577343,2024-06-18,perfil_actual,24,-10.871569333333333,-12.388031,17.0,17.0,17.0,101.53454765977281,64.0,63.58185031170426,30.720000000000002,8,5867.52,5691.89128687004,19132.0
2577343,2024-06-18,invierno_22C,24,-10.871569333333333,-12.388031,22.0,22.0,22.0,121.40346957305215,64.0,64.0,30.720000000000002,8,6328.320000000001,6547.549436810647,17212.0
2577343,2024-06-18,invierno_24C,24,-10.871569333333333,-12.388031,24.0,24.0,24.0,129.35103833836382,64.0,64.0,30.720000000000002,8,6524.160000000001,6871.1229670237,16396.0
