edificio_id,codigo_region,region,heating_demand_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,0,8.0,1.0,1.0,8.0,0.0,True,,0.24996820619816215,2077.40920822315,4154.8184164463,1038.5725066381701,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,1,8.0,1.0,1.0,8.0,0.01,True,,0.3838493291284421,1891.844317122463,4154.8184164463,1130.912034051691,878.0346271750705,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,2,8.0,1.0,1.0,16.0,0.0,True,,0.2499992095264416,2077.40920822315,4154.8184164463,1038.7013198374768,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,3,8.0,1.0,1.0,16.0,0.01,True,,0.4566029302110536,1791.232115529788,4154.8184164463,1181.659531710825,978.6468287677454,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,4,8.0,1.0,1.0,32.0,0.0,True,,0.2499992095264416,2077.40920822315,4154.8184164463,1038.7013198374768,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,5,8.0,1.0,1.0,32.0,0.01,True,,0.5864656827301631,1611.3086177107527,4154.8184164463,1271.4069429400415,1158.5703265867805,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,6,8.0,1.0,1.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,7,8.0,1.0,1.0,64.0,0.01,True,,0.8036201087760177,1310.6276350122814,4154.8184164463,1421.9416947420061,1459.2513092852519,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,8,8.0,1.0,2.0,8.0,0.0,True,,0.24996820619816215,2077.40920822315,4154.8184164463,1038.5725066381701,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,9,8.0,1.0,2.0,8.0,0.01,True,,0.3840329717629689,1891.2175985440279,4154.8184164463,1130.10823940558,878.6613457535054,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,10,8.0,1.0,2.0,16.0,0.0,True,,0.2499992095264416,2077.40920822315,4154.8184164463,1038.7013198374768,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,11,8.0,1.0,2.0,16.0,0.01,True,,0.4566028969288387,1791.2321550388049,4154.8184164463,1181.659492201808,978.6467892587285,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,12,8.0,1.0,2.0,32.0,0.0,True,,0.2499992095264416,2077.40920822315,4154.8184164463,1038.7013198374768,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,13,8.0,1.0,2.0,32.0,0.01,True,,0.5864626676730023,1611.3121968579007,4154.8184164463,1271.4033637928933,1158.5667474396325,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,14,8.0,1.0,2.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,15,8.0,1.0,2.0,64.0,0.01,True,,0.8013374406727217,1313.8005152193232,4154.8184164463,1420.3898237854019,1456.0784290782103,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,16,8.0,1.0,4.0,8.0,0.0,True,,0.24107820612320802,2077.40920822315,4154.8184164463,1001.6361706045418,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,17,8.0,1.0,4.0,8.0,0.01,True,,0.3551359012111948,1919.402217974086,4154.8184164463,1080.5077070708662,850.4767263234472,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,18,8.0,1.0,4.0,16.0,0.0,True,,0.246213926055148,2077.40920822315,4154.8184164463,1022.9741543594764,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,19,8.0,1.0,4.0,16.0,0.01,True,,0.418840391679403,1838.7516132994906,4154.8184164463,1143.561785592017,931.1273309980427,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,20,8.0,1.0,4.0,32.0,0.0,True,,0.2490465745097819,2077.40920822315,4154.8184164463,1034.7432943261074,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.878944297533,4154.8184164463,2077.40920822315,692.4697360743835,21,8.0,1.0,4.0,32.0,0.01,True,,0.5155846083622595,1706.3746276734987,4154.8184164463,1214.5739746856405,1063.5043166240346,0.0,0.0,520,False
