year,codigo_region,region,hdd_communes,wood_units,hdd12_c_day,hdd14_c_day
2024,1,Tarapaca,6,166.0,97.90798594183549,158.957526296859
2024,2,Antofagasta,9,970.0,633.05706452993,1121.6411073589904
2024,3,Atacama,9,1342.0,434.83432123606275,657.7382126701425
2024,4,Coquimbo,15,14348.0,389.38725202523227,624.976614274341
2024,5,Valparaiso,38,79282.0,556.4294471607033,894.5009999059718
2024,6,O'Higgins,33,71629.0,821.9483832231896,1178.9242931452566
2024,7,Maule,30,135357.0,1026.5393644457565,1423.728320181551
2024,8,Biobio,33,224598.0,622.9711855965086,1018.0607739437135
2024,9,Araucania,32,160179.0,1015.2865739397404,1494.737048731375
2024,10,Los Lagos,30,120683.0,1303.2639641264511,1882.3345350300442
2024,11,Aysen,10,20143.0,3079.6306340432925,3775.0468425612135
2024,12,Magallanes,9,1384.0,3212.0945021588514,3942.7082561667085
2024,13,RM,52,28987.0,668.4066488496227,995.426093855508
2024,14,Los Rios,12,67772.0,1106.6182659429653,1627.3002133252883
2024,15,Arica y Parinacota,4,122.0,1689.3107941217625,2265.319119490091
2024,16,Nuble,21,58288.0,767.399843541171,1145.020798364421
