codigo_region,region,fit_records,holdout_records,target_source,target_fuel_energy_kwh,target_wood_volume_stere,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,fuel_error_kwh,profile_error_kwh,unmet_heating_energy_kwh,unallocated_fuel_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,0,8.0,1.0,1.0,8.0,0.0,True,,0.33325594547134496,3490.650878215052,6981.301756430104,0.0,1744.7851710907,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,1,8.0,1.0,1.0,8.0,0.01,True,,0.41533873443721075,3299.454731404552,6981.301756430104,0.0,1839.8395228445304,1354.7464395488512,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,2,8.0,1.0,1.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,3,8.0,1.0,1.0,16.0,0.01,True,,0.4598384019585485,3196.0614653806315,6981.301756430104,0.0,1892.0219648119992,1458.139705572772,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,4,8.0,1.0,1.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,5,8.0,1.0,1.0,32.0,0.01,True,,0.5434613878265959,3001.6555882643916,6981.301756430104,0.0,1989.8045701399287,1652.5455826890118,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,6,8.0,1.0,1.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.550292738351,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,7,8.0,1.0,1.0,64.0,0.01,True,,0.6880411928478205,2665.185796588275,6981.301756430104,0.0,2157.985337688635,1989.0153743651283,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,8,8.0,1.0,2.0,8.0,0.0,True,,0.33285057033717874,3490.650878215052,6981.301756430104,0.0,1741.9551249545323,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,9,8.0,1.0,2.0,8.0,0.01,True,,0.4154581834245994,3298.9034113488124,6981.301756430104,0.0,1839.2951321306407,1355.2977596045914,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,10,8.0,1.0,2.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,873
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,11,8.0,1.0,2.0,16.0,0.01,True,,0.4595674984770786,3196.8407247301648,6981.301756430104,0.0,1892.0788542348241,1457.3604462232383,0.0,0.0,0.0,873
